"","year","FR_MA","B","ERC","GenFund.proj","ERC_PR","ERC_GenFund","NC.growth","SC.growth","NC.factor","SC.factor","LG","NC","SC"
"1",2016,91,941.502149981576,430.796709336177,5558.321,30.8314288204318,7.75048273275648,NA,NA,100,100,1147.30321673095,391.49119986442,173.953122876394
"2",2020,93.7633360034184,1175.22304822465,421.7585385581,6156.556,22.9474377381375,6.8505596076459,3.10294140222163,-18.4332229552536,113.179607290727,88.8851963602094,93.9599249645445,443.088202584307,154.6185748434
"3",2025,96.3887714717214,1383.23126183502,403.059124350521,7137.13575777611,18.0444269097063,5.64735123486164,3.19066222933489,-43.4365410380225,132.5910254397,53.2789054235108,-2.14576721191406e-12,519.082196406419,92.6803198185577
"4",2030,97.078580899838,1773.55626153963,449.03228805537,8273.89644874933,16.9073241429781,5.42709581678709,3.27185461424396,2.97228215119467,156.300447847555,50.7682627628675,-8.10623168945312e-12,611.902498671855,88.3129785061016
"5",2035,97.733702657814,2192.18132461148,606.238944939958,9591.71364647794,19.2572987474829,6.32044457626785,3.44925654515171,24.4833987485414,185.253948180267,104.842149780594,-7.39097595214844e-12,725.252904527137,182.37619363409
"6",2040,99.7810735297412,2627.23478119194,622.567436982332,11119.4249584714,16.5866330636916,5.59891756370032,3.53232820997771,-52.1704250991672,221.547788548393,66.7703736678693,-1.01625919342041e-11,867.340095661193,116.149150151496
"7",2045,100.094482849905,3103.14035833959,608.211685744952,12890.4610754802,13.4703535245964,4.71830822950057,3.61724682377237,20.3030492491919,265.898010410103,9.20556581298006e-13,-6.25848770141602e-13,1040.96731137013,1.60133692101205e-12
