"","year","FR_MA","B","ERC","GenFund.proj","ERC_PR","ERC_GenFund","NC.growth","SC.growth","NC.factor","SC.factor","LG","NC","SC"
"1",2016,91,941.502149981576,430.796709336177,5558.321,30.8314288204318,7.75048273275648,NA,NA,100,100,1147.30321673095,391.49119986442,173.953122876394
"2",2017,91.819499867237,995.732428554559,419.537204474345,5600.426,27.7133019692835,7.49116593049073,2.96184390392766,-7.4139140215123,103.05224668634,93.0978085203864,40.9896591747932,403.440477039594,161.946545250698
"3",2018,92.4783934188468,1052.63279310838,448.914141752723,5783.199,27.8000730352052,7.7623844822342,3.03976360684735,13.8681063224031,106.282998597988,108.087497610193,54.6060724519821,416.088586463146,188.021577531879
"4",2019,93.1770716685437,1112.24020765592,447.234727503984,5983.03,25.9608225333362,7.47505406966009,3.0863339692093,-2.67683619609876,109.667710397231,105.269602779502,68.2644084427582,429.339435297959,183.119761474519
"5",2020,93.7633360034184,1175.22304822465,421.7585385581,6156.556,22.9474377381375,6.8505596076459,3.10294140222163,-18.4332229552536,113.179607290727,88.8851963602094,93.9599249645445,443.088202584307,154.6185748434
"6",2021,94.1323498415057,1109.43189524994,442.300981599587,6341.25268,22.8670302893627,6.97497803540588,3.07991242204702,8.06032969708663,116.776212361237,96.6777410310039,315.699474887812,457.16859492923,168.173949649785
"7",2022,94.7122199750588,1175.4126690859,468.508265468272,6531.4902604,23.3655700314867,7.17306842373795,3.02756075765841,9.44107699401052,120.422063499304,106.756725700691,177.242485751355,471.441781294921,185.706658236938
"8",2023,95.347357145256,1242.60360409666,484.317663122198,6727.434968212,23.2971039424629,7.19914299299305,3.11462390600061,3.55033836894025,124.29333337414,110.686469911173,-6.43730163574219e-12,486.597462177906,192.542571012125
"9",2024,95.992962231661,1311.70986070769,433.931685754924,6929.25801725836,20.134360523712,6.26231098155317,3.16854522839051,-44.8369727991533,128.360493671507,76.4214190424033,7.15255737304688e-13,502.520036826478,132.937444970716
"10",2025,96.3887714717214,1383.23126183502,403.059124350521,7137.13575777611,18.0444269097063,5.64735123486164,3.19066222933489,-43.4365410380225,132.5910254397,53.2789054235108,-2.14576721191406e-12,519.082196406419,92.6803198185577
"11",2026,96.6213215668653,1457.70749089977,368.110000318242,7351.2498305094,15.910174311233,5.00744783275491,3.17707851081825,-90.9412322979202,136.941773084708,27.9033002889503,-8.34465026855469e-13,536.114990564933,48.538662238207
